timestamp,event_type,cpu_pct,cpu_ewma,cpu_std,z_score,z_threshold,top_processes
2026-02-18 01:33:03,CPU_ANOMALY_Z,8.7,3.9634,2.2306,2.1235,2.0,node(1181) cpu=8.4; node(1062) cpu=2.0; node(1041) cpu=1.0
2026-02-18 01:34:21,CPU_ANOMALY_Z,52.8,12.7455,17.9304,2.2339,2.0,node(1181) cpu=3.0; node(1062) cpu=0.5; python(1602) cpu=0.5
2026-02-18 01:35:16,CPU_ANOMALY_Z,35.1,8.9563,12.0566,2.1684,2.0,node(1181) cpu=4.9; node(1062) cpu=1.5; python(1602) cpu=1.0
